flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,burst_mean_size_variance,small_to_large_ratio,inter_burst_gap,source_pcap,label
"(17, '10.211.218.53', 56713, '142.250.70.66', 443)",26,17215,14.340229034423828,662.1153846153846,574.0932199111301,49,1278,0.5736091613769532,2.7607062493539507,0.4577984316003485,2,13.0,1200.468971497963,1.8130812232905629,92257.9876,1.0909090909090908,14.097938060760498,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50742, '10.211.218.77', 53)",13,691,0.1616010665893554,53.15384615384615,27.864634751284378,40,141,0.0134667555491129,0.0285964603292501,0.487698986975398,1,13.0,4275.961876884763,80.44501360275243,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 63660, '10.211.218.77', 53)",13,646,0.1435580253601074,49.69230769230769,18.38220132203396,40,104,0.0119631687800089,0.0260210663794588,0.5092879256965944,1,13.0,4499.922580988033,90.55571757406256,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 52916, '103.43.91.51', 443)",47,27328,3.318851947784424,581.4468085106383,614.6491062113489,40,1440,0.0721489553866179,0.3880442695843509,0.5579259367681498,3,15.666666666666666,8234.172668727642,14.16152354472333,81201.21055555555,1.411764705882353,1.391857028007507,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 64872, '10.211.218.77', 53)",13,670,0.1339671611785888,51.53846153846154,23.584921469236637,40,125,0.0111639300982157,0.0222786828920282,0.4955223880597015,1,13.0,5001.225629517048,97.03870624436064,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50965, '10.211.218.77', 53)",13,705,0.1312050819396972,54.23076923076923,29.60289446906748,40,144,0.0109337568283081,0.0214112297877169,0.4936170212765957,1,13.0,5373.267480020498,99.08152800037796,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57152, '35.174.250.71', 443)",26,8125,11.298058986663818,312.5,480.8663055841549,40,1440,0.4519223594665527,1.890290318868597,0.4660923076923077,7,3.7142857142857135,719.1500778665359,2.3012802491729145,53692.207270408166,4.5,1.870535135269165,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50266, '10.211.218.77', 53)",13,667,0.1572990417480468,51.30769230769231,21.783496277208844,40,113,0.0131082534790039,0.0256033180912606,0.5112443778110944,1,13.0,4240.330980962774,82.6451315629926,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 63525, '13.158.243.134', 443)",32,9309,23.31442618370056,290.90625,452.45672164411206,40,1440,0.7520782639903407,2.78657544747147,0.3711462025996347,9,3.555555555555556,399.2806825547373,1.3725407500001714,45674.20854700316,5.75,2.90810090303421,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 58227, '10.211.218.77', 53)",13,780,0.1417620182037353,60.0,51.32850460139458,40,234,0.0118135015169779,0.0239610095571933,0.4269230769230769,1,13.0,5502.179003116417,91.70298338527364,0.0,12.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57910, '10.211.218.77', 53)",13,718,0.1303980350494384,55.23076923076923,37.501084796932815,40,182,0.0108665029207865,0.0223659408587396,0.4498607242339832,1,13.0,5506.217940537072,99.69475379802498,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57993, '10.211.218.77', 53)",13,717,0.140369176864624,55.15384615384615,34.87085217428657,40,170,0.0116974314053853,0.0246592035217838,0.4658298465829846,1,13.0,5107.9589979465,92.61292464896026,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57686, '23.60.109.11', 443)",30,10631,7.589708089828491,354.3666666666667,500.001165554197,40,1440,0.2617140720630514,1.2701320766012336,0.2826639074405042,3,10.0,1400.7126327094663,3.9527211909777056,23537.06172839506,4.0,3.638290524482727,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 58105, '10.211.218.77', 53)",13,674,0.1256670951843261,51.84615384615385,24.87768896589922,40,131,0.0104722579320271,0.0210093582805255,0.4896142433234421,1,13.0,5363.376936590993,103.44792310932182,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 53465, '10.211.218.77', 53)",13,698,0.1416800022125244,53.69230769230769,29.242710111659555,40,146,0.0118066668510437,0.0234748472262804,0.48567335243553,1,13.0,4926.595067051017,91.75606858404474,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 56010, '10.211.218.77', 53)",1,52,1e-09,52.0,0.0,52,52,0.0,0.0,1.0,1,1.0,52000000000.0,1000000000.0,0.0,1.0,0.0,nonai_009.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 49665)",2,226,0.0332138538360595,113.0,56.0,57,169,0.0332138538360595,0.0,0.252212389380531,1,2.0,6804.389551285272,60.21583673703781,0.0,2.0,0.0,nonai_004.pcap,non_ai
"(6, '10.211.218.53', 59237, '10.211.218.77', 53)",13,695,0.1330928802490234,53.46153846153846,30.698572717048357,40,155,0.0110910733540852,0.0195733783422125,0.4705035971223021,1,13.0,5221.91719571791,97.67614898465156,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 52910, '34.98.64.218', 443)",65,15036,27.06299114227295,231.3230769230769,351.01085267869547,40,1440,0.4228592365980148,3.116147098079761,0.3547486033519553,5,13.0,555.5926882196499,2.401803986051958,17232.85291571406,11.75,6.605876922607422,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 56995, '10.211.218.77', 53)",13,698,0.133005142211914,53.69230769230769,30.6603844006828,40,154,0.0110837618509928,0.0232005687349263,0.4742120343839541,1,13.0,5247.91739922275,97.74058193394806,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 49355, '10.211.218.77', 53)",13,694,0.1226580142974853,53.38461538461539,28.931054546278872,40,146,0.0102215011914571,0.0204243404307559,0.4827089337175792,1,13.0,5658.007786729904,105.98573663903278,0.0,13.0,0.0,non_ai_001.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 61898)",2,213,0.0787808895111084,106.5,24.5,82,131,0.0787808895111084,0.0,0.3849765258215962,1,2.0,2703.701383950053,25.38686745493008,0.0,2.0,0.0,nonai_001.pcap,non_ai
"(6, '10.211.218.53', 64788, '10.211.218.77', 53)",13,663,0.1725931167602539,51.0,22.698695320012764,40,123,0.0143827597300211,0.0296656510534311,0.4932126696832579,2,6.5,3841.404642578891,75.32165965840963,7.760204081632647,13.0,0.1023280620574951,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 54064, '10.211.218.77', 53)",12,672,0.103302001953125,56.0,30.24621188402497,40,131,0.0093910910866477,0.0174574122985961,0.4880952380952381,1,12.0,6505.19822747415,116.1642540620384,0.0,12.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 58317, '10.211.218.77', 53)",13,702,0.1577310562133789,54.0,31.66896078059836,40,158,0.0131442546844482,0.0289040593587947,0.4715099715099715,2,6.5,4450.613701909996,82.41877225759252,29.340277777777796,13.0,0.1010701656341552,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 61300, '10.211.218.77', 53)",13,694,0.1624948978424072,53.38461538461539,30.241434798934804,40,153,0.0135412414868672,0.0299353695173082,0.4726224783861671,2,6.5,4270.903328134423,80.00251191029898,27.18877551020409,13.0,0.1032299995422363,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57914, '20.189.173.14', 443)",28,9641,1.8086960315704343,344.32142857142856,501.9700512958509,40,1400,0.0669887419100161,0.1208397101918153,0.4583549424333575,7,4.0,5330.359458813552,15.48076598348506,64515.99735449736,3.8,0.2922593355178833,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 49986, '10.211.218.77', 53)",13,689,0.129281997680664,53.0,27.54018043625601,40,140,0.010773499806722,0.0229463228014449,0.4876632801161103,1,13.0,5329.434974402856,100.5553768755256,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 61521, '10.211.218.77', 53)",13,652,0.1499779224395752,50.15384615384615,19.386141576061508,40,107,0.0124981602032979,0.0282088814448252,0.50920245398773,1,13.0,4347.30651948246,86.67942446820857,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 55795)",2,142,0.0927591323852539,71.0,14.0,57,85,0.0927591323852539,0.0,0.4014084507042254,1,2.0,1530.8465737932452,21.56121934920064,0.0,2.0,0.0,nonai_004.pcap,non_ai
"(6, '10.211.218.53', 49280, '10.211.218.77', 53)",13,622,0.1946310997009277,47.84615384615385,13.72726738365962,40,86,0.0162192583084106,0.0373058871307567,0.5192926045016077,2,6.5,3195.7893725913896,66.7930254721673,0.000141723356009,13.0,0.1345338821411132,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 55590, '172.240.45.69', 443)",38,22719,28.738102912902832,597.8684210526316,588.1964481653634,40,1440,0.776705484132509,3.098134276334445,0.4959285179805449,10,3.8,790.5532271512475,1.3222863080130025,143878.23791388888,1.6363636363636365,3.173050747977362,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 57560, '10.211.218.77', 53)",2,221,0.0279061794281005,110.5,40.5,70,151,0.0279061794281005,0.0,0.3167420814479638,1,2.0,7919.392927627363,71.66871427717071,0.0,2.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 61701, '35.214.198.12', 443)",4,208,7.014799118041992,52.0,0.0,52,52,2.338266372680664,1.2463337244064283,1.0,4,1.0,29.65159750120657,0.5702230288693572,0.0,4.0,2.338266372680664,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50734, '10.211.218.77', 53)",13,640,0.1413218975067138,49.23076923076923,16.76605474510853,40,95,0.0117768247922261,0.0222836270436686,0.51875,1,13.0,4528.668318861167,91.98857522686744,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 54831, '142.250.182.66', 443)",24,14499,18.92258596420288,604.125,562.8684210141834,49,1278,0.8227211288783861,3.823201125151254,0.4505138285398993,2,12.0,766.2271968233479,1.268325589610342,75350.25,1.3333333333333333,18.755014896392822,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 59455, '10.211.218.77', 53)",13,759,0.1268010139465332,58.38461538461539,44.14406216981023,40,205,0.0105667511622111,0.0215889197807115,0.4492753623188406,1,13.0,5985.756551757853,102.5228394899237,0.0,12.0,0.0,nonai_009.pcap,non_ai
"(17, '10.221.8.53', 60538, '142.250.183.174', 443)",20,8206,0.3427550792694092,410.3,481.1140301425432,52,1278,0.0180397410141794,0.0287360712519645,0.4168900804289544,1,20.0,23941.293641778524,58.350703489589385,0.0,2.75,0.0,nonai_002.pcap,non_ai
"(6, '10.211.218.53', 59326, '10.211.218.77', 53)",13,634,0.1617879867553711,48.76923076923077,15.743882065272436,40,92,0.0134823322296142,0.028873835715588,0.5189274447949527,1,13.0,3918.708754059901,80.35207224413045,0.0,13.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.221.8.170', 53, '10.221.8.53', 63283)",13,782,0.3553149700164795,60.15384615384615,54.27117970659531,40,246,0.0296095808347066,0.0546984209226833,0.4130434782608695,2,6.5,2200.864207786491,36.58725665118208,177.4604591836735,12.0,0.1991529464721679,nonai_004.pcap,non_ai
"(17, '10.211.218.53', 58055, '10.211.218.77', 53)",2,303,0.030980110168457,151.5,94.5,57,246,0.030980110168457,0.0,0.1881188118811881,1,2.0,9780.46877020163,64.5575496382946,0.0,1.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 52543, '34.117.77.79', 443)",32,9717,9.27206802368164,303.65625,464.9200609631053,40,1440,0.2990989685058594,1.5541120337671062,0.3218071421220541,2,16.0,1047.9862717984774,3.451225758727105,21160.21670630202,5.75,8.810258865356445,nonai_009.pcap,non_ai
"(17, '10.221.8.53', 52977, '142.250.183.174', 443)",31,18667,0.6320531368255615,602.1612903225806,564.1508089826287,52,1278,0.0210684378941853,0.0487966342335747,0.4654738308244495,3,10.333333333333334,29533.909275023263,49.04650921549907,38353.26664621229,1.1666666666666667,0.1696090698242187,nonai_004.pcap,non_ai
"(6, '10.211.218.53', 60613, '10.211.218.77', 53)",13,640,0.1444950103759765,49.23076923076923,16.76605474510853,40,95,0.0120412508646647,0.0237611463247403,0.51875,1,13.0,4429.218686062014,89.96850456063466,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 53527, '10.211.218.77', 53)",13,673,0.1364781856536865,51.76923076923077,25.161490252287845,40,133,0.0113731821378072,0.0231594610474698,0.4858841010401188,1,13.0,4931.190994198428,95.2533178671316,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 49176, '10.211.218.77', 53)",12,648,0.6851551532745361,54.0,27.661646130819232,40,136,0.0622868321158669,0.1839127716357323,0.4614197530864197,2,6.0,945.7711832174626,17.514281170693753,21.423673469387733,12.0,0.6431770324707031,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 61289, '10.211.218.77', 53)",13,656,0.1364037990570068,50.46153846153846,20.296325490156264,40,111,0.0113669832547505,0.0227043461319317,0.5060975609756098,1,13.0,4809.25021542721,95.30526341547824,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57129, '10.211.218.77', 53)",13,648,0.1371858119964599,49.84615384615385,19.250758841571187,40,109,0.0114321509997049,0.0232449833961799,0.5030864197530864,1,13.0,4723.520534446532,94.76198603056314,0.0,13.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 64038, '10.211.218.77', 53)",13,642,0.143014907836914,49.38461538461539,17.985201016983428,40,104,0.0119179089864095,0.0243557154535946,0.5062305295950156,1,13.0,4489.042504101039,90.89961456902417,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 51409, '10.211.218.77', 53)",2,196,0.0185890197753906,98.0,30.0,68,128,0.0185890197753906,0.0,0.3469387755102041,1,2.0,10543.858813872355,107.590396059922,0.0,2.0,0.0,non_ai_001.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 53308)",2,128,0.0335121154785156,64.0,8.0,56,72,0.0335121154785156,0.0,0.4375,1,2.0,3819.514171883893,59.67990893568583,0.0,2.0,0.0,nonai_004.pcap,non_ai
"(6, '10.211.218.53', 62096, '10.211.218.77', 53)",13,831,0.1485629081726074,63.92307692307692,65.93057133596213,40,290,0.0123802423477172,0.02472581584961,0.394705174488568,1,13.0,5593.590016658161,87.5050183111385,0.0,12.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 64809, '151.101.210.49', 443)",43,13617,20.36673092842102,316.6744186046512,465.530840830333,40,1440,0.4849221649624052,2.901106827748177,0.4699272967614012,4,10.75,668.5903617942917,2.111286300738381,17169.832898310706,4.285714285714286,6.554068009058635,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 65135, '10.211.218.77', 53)",13,649,0.1706907749176025,49.92307692307692,19.48751686617532,40,110,0.0142242312431335,0.0307092849765879,0.50231124807396,2,6.5,3802.197279339152,76.16111653529889,3.1464002267573754,13.0,0.1064629554748535,non_ai_001.pcap,non_ai
