flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(6, '10.221.8.53', 51833, '51.11.168.232', 443)",37,24970,1.4845030307769775,674.8648648648649,989.4787916048492,40,3865,0.0412361952993604,0.0925071258148121,0.3725670804965959,7,5.285714285714286,16820.44393464855,24.92416602250686,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54228, '51.11.168.232', 443)",21,5858,1.310533046722412,278.95238095238096,424.1191966541029,40,1315,0.0655266523361206,0.0942623137378967,0.2074086719016729,7,3.0,4469.936881523599,16.024014085352608,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 49276)",16,2364,8.23713493347168,147.75,77.84399463028603,60,260,0.549142328898112,0.7620230452197493,0.25,9,1.7777777777777777,286.99299199213823,1.9424229576456056,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 57506)",12,1681,8.236318111419678,140.08333333333334,68.29526378567957,60,228,0.7487561919472434,0.9610197446198724,0.2599643069601428,8,1.5,204.09605083966932,1.4569616954646236,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54231, '132.196.74.211', 443)",70,59734,3.3082218170166016,853.3428571428572,1434.9324512296168,40,8965,0.0479452437248782,0.1309509226788271,0.4903070278233501,10,7.0,18056.225762354992,21.159403411203822,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54232, '51.11.168.232', 443)",26,9673,1.4657959938049316,372.0384615384616,611.6144135224434,40,2590,0.0586318397521972,0.1152859124149334,0.1969399359040628,6,4.333333333333333,6599.144792919446,17.737802606834034,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54233, '52.185.211.133', 443)",31,11938,1.9849209785461424,385.0967741935484,610.5455706665655,40,2590,0.0661640326182047,0.1268547874349158,0.5889596247277601,7,4.428571428571429,6014.345220303934,15.61775019512665,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54234, '52.185.211.133', 443)",23,6532,2.274863004684448,284.0,567.7712337843856,40,2590,0.1034028638492931,0.163096529864199,0.2766380894060012,7,3.2857142857142856,2871.381699271192,10.110498941095743,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54235, '20.44.239.154', 443)",22,6493,0.5922460556030273,295.1363636363636,578.1310244269534,40,2590,0.0282021931239536,0.0397477749882965,0.272293238872632,3,7.333333333333333,10963.348659855235,37.14672270396045,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54236, '20.44.239.154', 443)",23,6536,0.4434750080108642,284.17391304347825,425.666398483286,40,1315,0.0201579549095847,0.0338515084618034,0.2709608323133415,3,7.666666666666667,14738.147318190884,51.86312550770966,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54237, '52.182.141.63', 443)",25,8336,2.3504879474639893,333.44,584.8821474451071,40,2590,0.0979369978109995,0.171078915895923,0.3747600767754319,7,3.571428571428572,3546.497657643365,10.636089424314315,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54238, '20.44.239.154', 443)",27,6753,1.2952489852905271,250.11111111111111,402.1677679529365,40,1315,0.0498172686650202,0.0785279597674742,0.2754331408262994,9,3.0,5213.66940000751,20.845412972042467,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54239, '20.44.239.154', 443)",24,6577,1.0719640254974363,274.0416666666667,557.6855056964354,40,2590,0.0466071315433668,0.0807239988277784,0.2826516648928083,6,4.0,6135.467089903502,22.388811032033452,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54240, '20.44.239.154', 443)",26,7926,1.0057268142700195,304.84615384615387,453.2286477050978,40,1315,0.0402290725708007,0.0732024825079818,0.2432500630835226,6,4.333333333333333,7880.867734199649,25.851950679938287,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54242, '135.232.92.97', 443)",304,239999,8.275400876998901,789.4703947368421,630.1243500230328,40,2590,0.0273115540495013,0.249499163112476,0.9467456114400477,13,23.384615384615383,29001.495343514565,36.73538049920386,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54243, '20.44.239.154', 443)",23,5949,1.0321481227874756,258.6521739130435,556.2624973639109,40,2590,0.046915823763067,0.0776325197569703,0.2057488653555219,5,4.6,5763.707619729817,22.283623340693527,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53982)",2,334,0.1592350006103515,167.0,90.0,77,257,0.1592350006103515,0.0,0.2305389221556886,2,1.0,2097.5288015811225,12.560052704078576,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54244, '20.44.239.154', 443)",22,6395,0.7542729377746582,290.6818181818182,574.2174426883978,40,2590,0.0359177589416503,0.054550213012338,0.2597341673182173,5,4.4,8478.36330820413,29.16716071626128,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54245, '20.44.239.154', 443)",24,7744,0.4787437915802002,322.6666666666667,605.0780711794324,40,2590,0.0208149474600087,0.0383368751228602,0.2636880165289256,3,8.0,16175.666684760983,50.13119840318487,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54246, '20.44.239.154', 443)",23,6521,0.8454728126525879,283.5217391304348,567.3256766976564,40,2590,0.0384305823932994,0.0647145048600177,0.2754178806931452,4,5.75,7712.844106176522,27.20371330195676,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54247, '20.44.239.154', 443)",23,6538,0.5186960697174072,284.2608695652174,429.1257257131167,40,1315,0.0235770940780639,0.0407543023526759,0.2837259100642398,3,7.666666666666667,12604.683902004486,44.34195927594114,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54248, '20.44.239.154', 443)",21,6412,0.5892410278320312,305.3333333333333,589.8594936272724,40,2590,0.0294620513916015,0.040635418831175,0.2758889582033687,3,7.0,10881.79488042676,35.63906620227105,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 51394)",6,870,3.910720109939575,145.0,68.67313885355759,75,215,0.782144021987915,1.0417036743000216,0.2632183908045977,5,1.2,222.4654221069895,1.5342442903930311,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54249, '20.44.239.154', 443)",30,11313,0.5982518196105957,377.1,614.1167831392768,40,2590,0.0206293730900205,0.0379656272807275,0.5753557853796517,3,10.0,18910.09710152436,50.14610740261034,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54250, '20.44.239.154', 443)",21,6102,0.5619330406188965,290.57142857142856,579.1248382095976,40,2590,0.0280966520309448,0.0382710866924259,0.2322189446083251,2,10.5,10858.9450324534,37.37100060333028,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 58351)",2,335,0.2365028858184814,167.5,92.5,75,260,0.2365028858184814,0.0,0.2238805970149253,2,1.0,1416.4732021795123,8.456556430922461,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54251, '52.182.141.63', 443)",28,8645,2.21296501159668,308.75,741.8012645388443,40,3865,0.0819616670961733,0.1497369928253415,0.3971081550028918,7,4.0,3906.523580218077,12.652707952123327,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 56373)",18,2646,25.40990209579468,147.0,80.63773585886725,63,288,1.4947001232820398,2.3981166394108056,0.246787603930461,9,2.0,104.132632625842,0.7083852559581089,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54252, '20.44.239.154', 443)",32,13291,1.2327218055725098,415.34375,528.2352464441742,40,1315,0.039765219534597,0.0802112854135089,0.5470619216010835,7,4.571428571428571,10781.832478275415,25.95881719244702,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54253, '20.44.239.154', 443)",35,22701,0.6933231353759766,648.6,957.206298110735,40,3865,0.0203918569228228,0.043824122072675,0.3151843531121977,2,17.5,32742.30851634521,50.48151174274624,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54254, '20.44.239.154', 443)",24,6349,0.6677489280700684,264.5416666666667,414.1049564187267,40,1315,0.0290325620900029,0.0402173699264802,0.190423688769885,2,12.0,9508.064682859042,35.94165260491684,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54255, '20.44.239.154', 443)",23,5974,0.7805290222167969,259.7391304347826,556.2396431779401,40,2590,0.0354785919189453,0.0613172204978777,0.2023769668563776,4,5.75,7653.78330588287,29.467193845883163,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54256, '20.44.239.154', 443)",30,10595,0.7653889656066895,353.1666666666667,502.99052895876895,40,1315,0.0263927229519548,0.0570631928487943,0.1252477583765927,3,10.0,13842.634890355152,39.19575712228925,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53362)",22,3397,62.4593198299408,154.4090909090909,87.6515099133075,63,305,2.974253325235276,8.375290150344542,0.2322637621430674,11,2.0,54.38739981877929,0.3522292599391064,chatgpt_001.pcap,chatgpt
