flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(6, '10.211.218.53', 49892, '20.99.185.48', 443)",27,18551,61.335201025009155,687.074074074074,1687.394944349643,40,8200,2.3590461932695828,11.550881359469232,0.24845021831707187,6,4.5,302.45274638353123,0.4402039864349816,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 58633, '10.211.218.77', 53)",2,245,0.04458785057067871,122.5,56.5,66,179,0.04458785057067871,0.0,0.2693877551020408,1,2.0,5494.770366013421,44.855268293987116,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 56552, '10.211.218.77', 53)",2,202,0.004971027374267578,101.0,35.0,66,136,0.004971027374267578,0.0,0.32673267326732675,1,2.0,40635.463213429255,402.3313189448441,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 50946, '10.211.218.77', 53)",2,190,0.004611015319824219,95.0,29.0,66,124,0.004611015319824219,0.0,0.3473684210526316,1,2.0,41205.67528438469,433.74395036194414,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 59399, '10.211.218.77', 53)",2,352,0.07888507843017578,176.0,107.0,69,283,0.07888507843017578,0.0,0.19602272727272727,1,2.0,4462.187361727335,25.353337282541677,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 60488, '10.211.218.77', 53)",2,376,0.07895994186401367,188.0,119.0,69,307,0.07895994186401367,0.0,0.18351063829787234,1,2.0,4761.908267961423,25.329299297667145,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 56992, '10.211.218.77', 53)",2,181,0.1431257724761963,90.5,28.5,62,119,0.1431257724761963,0.0,0.3425414364640884,2,1.0,1264.6219955256674,13.973723707465938,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 60537, '10.211.218.77', 53)",2,169,0.14199304580688477,84.5,22.5,62,107,0.14199304580688477,0.0,0.3668639053254438,2,1.0,1190.1991329198304,14.085196839287933,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 55886, '34.54.194.141', 443)",6,1307,0.5129849910736084,217.83333333333334,323.3782185339981,52,938,0.10259699821472168,0.08886289925798599,0.8125478194338179,2,3.0,2547.832826969509,11.696248631841662,claude_007.pcap,claude
"(17, '10.211.218.53', 51662, '10.211.218.77', 53)",2,248,0.04125499725341797,124.0,25.0,99,149,0.04125499725341797,0.0,0.39919354838709675,1,2.0,6011.392958690677,48.47897547331191,claude_007.pcap,claude
